starttime	seconds	ctime	dtime	ttime	wait
Fri Nov 12 17:01:34 2021	1636707694	0	529	529	528
Fri Nov 12 17:01:33 2021	1636707693	0	529	529	528
Fri Nov 12 17:01:50 2021	1636707710	0	530	530	529
Fri Nov 12 17:01:34 2021	1636707694	0	530	530	529
Fri Nov 12 17:01:34 2021	1636707694	0	530	530	530
Fri Nov 12 17:01:32 2021	1636707692	0	531	531	523
Fri Nov 12 17:01:36 2021	1636707696	0	531	531	528
Fri Nov 12 17:01:32 2021	1636707692	5	527	532	526
Fri Nov 12 17:01:47 2021	1636707707	0	533	533	533
Fri Nov 12 17:01:32 2021	1636707692	0	533	534	533
Fri Nov 12 17:01:38 2021	1636707698	0	534	534	533
Fri Nov 12 17:01:35 2021	1636707695	0	534	534	533
Fri Nov 12 17:01:37 2021	1636707697	0	534	534	512
Fri Nov 12 17:01:42 2021	1636707702	0	534	534	534
Fri Nov 12 17:01:32 2021	1636707692	0	534	534	532
Fri Nov 12 17:01:34 2021	1636707694	0	535	535	534
Fri Nov 12 17:01:49 2021	1636707709	0	536	536	535
Fri Nov 12 17:01:48 2021	1636707708	0	536	536	536
Fri Nov 12 17:01:47 2021	1636707707	0	537	537	536
Fri Nov 12 17:01:32 2021	1636707692	0	538	538	497
Fri Nov 12 17:01:50 2021	1636707710	0	538	538	537
Fri Nov 12 17:01:32 2021	1636707692	6	532	538	529
Fri Nov 12 17:01:39 2021	1636707699	0	538	538	538
Fri Nov 12 17:01:37 2021	1636707697	0	538	538	538
Fri Nov 12 17:01:45 2021	1636707705	0	540	540	539
Fri Nov 12 17:01:32 2021	1636707692	5	535	540	534
Fri Nov 12 17:01:32 2021	1636707692	6	535	540	534
